<DOC1>	至于耗油量较高，是和车的总体质量有关系的。</DOC1>
<DOC2>	[14]腰部调节只是个硬性搬手，与FML的电动差多了;</DOC2>
<DOC3>	哪里有更客观的介绍？</DOC3>
<DOC4>	正常跑很好，但是油箱到红线的位置时就会冒白烟，时间大概1分钟左右，加过油之后就没有问题。</DOC4>
<DOC5>	在1.8L的轿车里,花冠的发动机最棒!</DOC5>
<DOC6>	优点：空间大，承载能力强，实用。</DOC6>
<DOC7>	这下江铃陆风，北汽“吉普之星”、雪佛莱开拓者、庆铃竞技者该降价了，而且是必须降！！！</DOC7>
<DOC8>	至于有位网友讲的侧翻倒是没有感受。</DOC8>
<DOC9>	最后选了普力马,先是订了手动5座舒适的,15天后车回来了,不要.因为发动机和变速箱是国产.</DOC9>
<DOC10>	我真不明白捷达为何死要面子不降价？</DOC10>
<DOC11>	我现在想买M6,不知道2.3技术型和豪华型到底差别多少,都是什么差别.我想了解一下好参考.</DOC11>
<DOC12>	谢谢zhou19730704：您讲的很详细，但我还真的没仔细看过实车，准备3/5去看一下。</DOC12>
<DOC13>	在行政级豪华车，我选择BENZ的S系列，它无论从外型、舒适度、品牌传统在这个级别中都要高于BMW的7系。</DOC13>
<DOC14>	让4S检查，说前轮减震漏油，免费换新的。</DOC14>
<DOC15>	请大家帮帮忙，给个分析吧。。。</DOC15>
<DOC16>	而在现实中国路况下50-120公里时速的可用性能与美人豹相比，差别不大。</DOC16>
<DOC17>	最后回到发动机，直6很给力，M档很舒爽，但比起手排的来，那差的还不是一点点。</DOC17>
<DOC18>	这样的质量，不知其它部件怎样？</DOC18>
<DOC19>	感觉帕萨特１．８Ｔ手自一体的驾驶性能更好一点。</DOC19>
<DOC20>	最后，希望“赛弗”能够尽快进入中档SUV领域，以继续刺破这一领域的泡沫，造福中国百姓。</DOC20>
<DOC21>	5与同级别车比较捷达配置最差.</DOC21>
<DOC22>	亚运车市的销量就是明证，捷达车的周销量只有富康和爱丽舍周销量的三分之一强！</DOC22>
<DOC23>	说实在的，我本来是本着夏利7131去的。</DOC23>
<DOC24>	谈谈自己的感觉：1、1.6AT和2.0AT从0开始提速的感觉差别不是太大。</DOC24>
<DOC25>	在原有的基础上设计得动感显眼些！</DOC25>
<DOC26>	尾灯做在后风挡两侧，有些夸张，使人不舒服。</DOC26>
<DOC27>	一烂车(ELANT)九月才卖了9000多辆,你看看,满街都是.花花现在还是珍稀动物.</DOC27>
